"detail.rd.reduceCar";"detail.rd.compCar"
0;0
-0.294;0.10608
-0.564;0.21216
-0.245;0.0884
-2.205;0
-0.686;0.112
-0.19;0
0;0
0;0
-0.16;0.256
0;0
0;0
0;0
-0.15;0.2652
0;0
0;0
-0.147;0.048
-0.294;0
0;0
0;0
-0.2205;0.072
-0.8575;0.6188
-0.294;0.10608
0;0
0;0
0;0
0;0.922
0;0
-0.686;0
0;0
-0.065;0.22984
0;0
-0.05;0
0;0
-0.441;0.07956
-0.423;0.14904
0;0
0;0
0;0
-0.705;0.29808
0;0
0;0
0;0
-0.0825;0.1326
0;0
-1.14;0.5136
0;0
0;0
-0.686;0.37128
0;0
-0.294;0
0;0
0;0
-0.2;0
-0.513;0
0;0
-0.33;0.48
0;0
0;0
0;0
0;0
0;0
0;0
-0.54;0.2652
0;0
0;0
-0.12;0.19872
-0.1;0.2568
-0.405;0.12
0;0
0;0
0;0.1768
0;0
0;0
-0.54;0.16
-0.1;0.1768
0;0
0;0
-1.176;0.41424
-0.055;0.19448
0;0
0;0
0;0
-0.513;0
-0.49;0.03536
0;0
0;0
0;0
0;0
0;0
0;0
-1.47;0
-0.282;0.09852
0;0
-0.245;0
-0.693;0
-0.09;0.144
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.0705;0
0;0
-0.1715;0.024
0;0
-0.18;0.08
0;0
0;0
0;0
0;0
0;0
0;0
-0.05;0
0;0
0;0
-0.141;0.048
0;0
0;0
0;0
-0.49;0
0;0
-0.8575;0.48916
-1.296;0
0;0
-1.0575;0
0;0
0;0
0;0
-0.05;0
0;0
0;0
0;0
0;0.08
0;0
-0.81;0
0;0
-0.09;0.04
0;0
-0.147;0
0;0
0;0
-2.3265;0.19448
0;0
0;0
0;0
0;0
-0.9;0
0;0
-0.245;0
0;0
0;0
-0.245;0
0;0
0;0
-1.08;0
-0.588;0.192
-0.225;0.5052
0;0
-2.352;0
-0.3705;0.22984
0;0
0;0
-0.0855;0
-0.4165;0.15028
-0.098;0
-0.1175;0.01768
0;0
-0.049;0
0;0
0;0
0;0
0;0
-0.09;0.15156
0;0
-0.03;0
0;0
-0.045;0.03368
-0.513;0.14904
0;0
-1.485;0.44
-0.196;0.064
-0.405;0.12
0;0
0;0
0;0
-0.49;0
-0.375;0.6
-0.705;0.24
0;0
-0.235;0.064
0;0
0;0
-0.132;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.4;0.64
0;0
-0.165;0.264
0;0
-0.931;0.304
0;0
0;0
0;0
0;0
0;0
0;0
-0.27;0
0;0
-0.04;0.14144
0;0.288
0;0
0;0
0;0
-0.1645;0.056
-0.588;0.192
-0.22;0
-1.8375;0.6252
0;0
-1.8375;0.6126
0;0
0;0
0;0
0;0
-0.282;0.048
0;0
0;0
-1.62;0.59616
-0.1225;0.0884
0;0
0;0
0;0
-0.441;0.2046
0;0
0;0
0;0
0;0
-1.2825;0
0;0
0;0
0;0
0;0
-1.274;0.42692
-1.47;0.24
0;0
0;0
0;0
-0.784;0
-0.3;0
-0.3;0
0;0.10608
-1.47;0.48
0;0
0;0
0;0
0;0
-0.648;0.096
0;0
0;0
0;0
0;0
-0.195;0.43784
0;0
0;0
0;0
-2.43;0.7452
-0.0245;0.00884
0;0
0;0
-0.242;0.37048
0;0
0;0
0;0
0;0
0;0
-0.72;0
-0.441;0.15408
0;0
0;0
0;0
0;0
-1.323;0
0;0
-0.11;0.18524
-1.175;0.5052
-0.3675;0.1326
0;0
0;0
-0.18;0
-0.4;0.6736
0;0
-1.35;0
-0.798;0.23576
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.5875;0
-0.3675;0.2652
0;0
-0.882;0.288
-1.8375;0.6126
-2.058;0.71904
0;0
0;0
0;0
-0.98;0.4252
0;0
0;0
-0.49;0
0;0.16672
0;0
-0.47;0.16
0;0
0;0
-0.2;0.128
0;0
0;0
0;0
0;0
0;0
-0.121;0
0;0
0;0
0;0
-0.441;0.14904
-0.27;0.08336
0;0
0;0
-0.57;0.16
-0.2;0.2652
-0.702;0.208
-0.282;0.10608
0;0
-0.235;0
0;0
0;0
0;0
-0.098;0.032
0;0.03536
-1.0575;0.36
-0.245;0.0884
0;0
0;0
0;0
0;0
0;0
0;0
-0.04;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.2585;0
-0.06;0.096
0;0
-0.0825;0
0;0
-0.399;0
0;0
0;0
-1.368;0.384
0;0
-0.517;0.176
0;0
0;0
-0.2;0.32
0;0
0;0
0;0
-0.049;0.03536
-0.035;0
0;0
0;0
0;0
0;0
-0.0735;0.024
0;0
0;0
0;0
-0.675;0.2
0;0
-1.47;0
-0.405;0.12
0;0
-0.588;0.192
0;0
0;0
0;0
0;0
-0.98;0
0;0
-0.1175;0.0442
0;0
-0.1;0.23744
0;0
-0.245;0
-0.245;0.0884
0;0.064
-0.044;0.06568
-0.282;0
-0.47;0
-0.25;0
-0.282;0
0;0
0;0
0;0
0;0
-0.245;0.03536
0;0
-1.6905;0
-0.792;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.144;0
0;0
-0.285;0.1768
-0.6345;0.22356
-0.165;0
0;0
0;0
0;0
0;0
0;0
-0.135;0.0442
-0.288;0.13472
-0.3;0.4926
0;0
0;0
0;0
0;0
0;0
-1.568;0.512
0;0
-0.81;0.24
0;0
0;0
-1.5435;0.11788
-0.94;0
-1.0575;0.36756
0;0
0;0
-0.441;0
-1.35;1.326
0;0
-0.108;0.03536
0;0
0;0
-0.308;0.35952
0;0
0;0
0;0
-0.6345;0.23112
0;0
0;0
-1.08;0.48
-0.441;0
-1.152;0
0;0
-0.6875;1.484
0;0
-1.2825;0.36
0;0
0;0
0;0
-2.394;0
0;0
0;0
0;0
0;0
0;0
-0.705;0
0;0
0;0
0;0
-0.846;0
-0.072;0
0;0
0;0
-0.147;0.048
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.27;0.12
0;0
0;0
0;0
0;0
0;0
-0.8085;0
-0.09;0.144
0;0
-1.96;0
-0.3525;0
0;0
-0.2205;0.07956
-0.0735;0.02652
-0.54;0.3536
0;0
-0.833;0.272
-0.235;0.08
-0.72;0.32672
0;0
-0.2475;0.7956
-0.4275;0
0;0
0;0
0;0
-0.705;0
-0.1;0.16
-0.3675;0.12
0;0
-0.4275;0.1326
-1.41;0.5052
-1.62;0.7704
0;0
-0.5985;0
-1.1025;0
0;0
-0.8085;0
0;0
0;0
-0.12;0
0;0
0;0
0;0
-0.1175;0
0;0
0;0
-0.3;1.0608
-1.47;0.08
0;0
0;0
0;0
-0.36;0.08
-0.176;0.128
0;0
-0.025;0.04
0;0
0;0
-0.2205;0.15912
-0.81;0.3978
-1.88;0
0;0
0;0
0;0
-0.392;0.128
-0.08;0.128
0;0
0;0
-0.176;0.256
-0.329;0.06188
-1.47;0
-1.008;0.112
-0.423;0
-0.423;0.23112
-0.08;0.14144
-0.03;0
-0.114;0.03536
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.62;0.4926
0;0
0;0
0;0
-5.64;0
0;0
0;0
-1.1025;0.3326
-0.49;0.1768
0;0
0;0
0;0
0;0
0;0
0;0
-1.215;0.46224
0;0
-2.205;0
-0.15;0.24
-0.882;0.192
0;0
-0.018;0.01768
0;0
-0.57;0.2568
-0.005;0.008
0;0
0;0
0;0
-1.89;0
0;0
0;0
-1.128;0.128
-0.94;0.3284
-0.6125;0
-0.27;0.08
0;0
0;0
-0.4;0
0;0
0;0
0;0
0;0
-0.627;0.19448
-0.54;0.24
0;0
-0.648;0.192
0;0
-0.792;0
0;0
0;0
-0.054;0.016
-0.09;0
0;0
0;0
-0.098;0.07072
0;0
-0.15;0.10608
0;0
0;0
-0.51;0.136
0;0
-1.175;0
0;0
-0.54;0.24
0;0
0;0
0;0
-0.1;0.2568
0;0
0;0
0;0
0;0
0;0
-0.784;0
0;0
0;0
-1.96;0
0;0
-0.0245;0
-0.24;0.29808
0;0
0;0
0;0.08
-0.567;0.17976
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.3675;0
-0.14;0
-1.8375;0
0;0
0;0
0;0
-0.855;0.24
0;0
-0.931;0.304
0;0
0;0
-0.376;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.049;0.01768
-0.4935;0.17976
-0.705;0.1326
-0.588;0.42432
0;0
-0.441;0.144
-0.6615;0.216
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.3675;0.2652
-0.972;0
0;0
0;0
0;0
-0.36;0.2568
-0.072;0.032
-1.89;0.2652
-0.098;0.03536
-0.1;0.1768
0;0
0;0
-0.4275;0.2652
-0.27;0.12
-0.735;0.3368
0;0
-1.377;0.42228
0;0
0;0.92288
0;0
-1.1025;0.2652
-0.285;0.08252
-0.2;0.4168
0;0
-0.08;0.128
0;0
0;0
0;0
0;0
-0.144;0
0;0
0;0
0;0
0;0
-0.49;0.16
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.96;0
0;0
0;0
0;0
-0.1715;0.056
0;0
0;0
0;0
0;0
0;0
-1.53;0.43656
0;0
0;0
-0.11;0.3536
0;0
0;0
0;0
0;0
0;0
-0.115;0
-0.047;0
0;0
0;0
0;0
0;0
0;0
0;0
-2.8175;0
0;0
0;0
0;0
0;0
-0.114;0
-1.368;0.39744
-0.3675;0
0;0
0;0
-0.3675;0.12
-0.025;0.0884
0;0
0;0
-1.35;0.4
0;0
-0.196;0.064
-0.225;0.7956
-0.735;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.5145;0.17976
0;0
0;0
0;0
0;0
-0.049;0.016
