"variable";"description"
"PE_heat_pump__annual";"strategy to install heat pump: annuity equivalent"
"PE_reduce_temperature__selected";"strategy to reduce room temperature has been selected"
"PE_reduce_temperature__select";"strategy to reduce room temperature: dropdown value"
"PE_reduce_temperature__annual";"strategy to reduce room temperature: annuity equivalent"
"PE_certificate__selected";"strategy to by CO2-certificates has been selected"
"PE_certificate__select";"strategy to by CO2-certificates: dropdown value"
"PE_reference__certificate";"CO2-certificate reference price (scenario variable)"
"PE_certificate__annual";"strategy to by CO2-certificates: annuity equivalent"
"PE_sum__investment";"total one-off equivalent"
"PE_sum__annual";"total annuity equivalent"
"PE_co2_reference__diet";"CO2-emission reference for diet"
"PE_co2_reference__car";"CO2-emission reference for car"
"PE_co2_reference__bike";"CO2-emission reference for bike"
"PE_co2_reference__ebike";"CO2-emission reference for E-bike"
"PE_co2_reference__pt";"CO2-emission reference for PT"
"PE_co2_reference__short_flights";"CO2-emission reference for short flights"
"PE_co2_reference__medium_flights";"CO2-emission reference for medium flights"
"PE_co2_reference__long_flights";"CO2-emission reference for long flights"
"PE_replace_car__reduction";"CO2-emission reduction by replace car strategy"
"PE_sell_car__reduction";"CO2-emission reduction by sell car strategy"
"PE_reduce_car__reduction";"CO2-emission reduction by reduce car strategy"
"PE_reduce_short_flights__reduction";"CO2-emission reduction by reduce short flights strategy"
"PE_reduce_medium_flights__reduction";"CO2-emission reduction by reduce medium flights strategy"
"PE_reduce_long_flights__reduction";"CO2-emission reduction by reduce long flights strategy"
"PE_diet__reduction";"CO2-emission reduction by diet strategy"
"PE_insulate_roof__reduction";"CO2-emission reduction by insulate roof strategy"
"PE_insulate_facade__reduction";"CO2-emission reduction by insulate facade strategy"
"PE_replace_windows__reduction";"CO2-emission reduction by replace windows strategy"
"PE_solar_panels__reduction";"CO2-emission reduction by install solar panels strategy"
"PE_ventilation__reduction";"CO2-emission reduction by install controlled air ventilation strategy"
"PE_heat_pump__reduction";"CO2-emission reduction by install heat pump strategy"
"PE_reduce_temperature__reduction";"CO2-emission reduction by reduce room temperature strategy"
"PE_compensate_reduce_car__reduction";"Careful: Use this to compute net effects of reduce_car strategy"
