"alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","logLike"
-3.03472809748107,8.6230335630682,1.30652432794813,1.81553263899052,8.77370878627974,54.2820496418539,1.15603426366982,10.0294632306853,17.2725343810677,6.84657012914699,4.16164531155782,65.1613661972346,2.9920832983693,1.86326661517865,24.0448980408734,35.0746947519963,50.7868628981909,0.260285126375339,0.453601014551083,0.436955302506733,0.0938249768559097,0.044073953033218,-0.344831753654543,0.0405564253197874,-0.354308094028008,0.0817182152773445,-1.50280718109838,1.17398987448242,1.12005427974409,0.818293519797183,-0.235708709359182,-1.07897151093194,-28930.9106380282
-4.25235222599953,7.75893973460053,1.26171364429663,1.32815400190568,12.1998299531837,54.6081151428327,1.84121530202544,10.2350394764993,17.2618553185861,5.9023660882413,3.95347179923419,89.4229375576225,3.35845225391736,2.26433985926872,27.251926686051,41.4397393096766,74.962623818633,0.306734610473081,0.51877009352719,0.564218718649086,0.20105070886886,0.0579396861025028,-0.248278455552244,0.161537119940276,-0.309281975645824,0.169017058445276,-1.39263442421927,1.14123682955987,1.21227724031864,0.914387508897741,-0.228157183882285,-1.03614821921059,-28867.498120044
-4.3194671203082,7.65905112180778,1.24511072300438,1.76319134438508,10.9715752757532,52.5862477381927,1.70551805688127,9.89809613496376,17.3155187499673,6.80253825918811,4.41508525080224,90.7551862180753,3.22241102564465,2.21191489431739,27.9496002761769,42.911156743427,78.07839798211,0.308289624835474,0.523267025339633,0.579150285696361,0.200006735188964,0.072029483598042,-0.222594868140634,0.15816572102618,-0.307574730252817,0.166314493788685,-1.38696601833025,1.12970465554114,1.21656752100972,0.913855771497447,-0.215781559267038,-1.00192252905215,-28852.5717934223
-4.42174369677844,7.67033166085311,1.24717706985799,1.75409547946862,10.0413957087286,50.109475644869,1.55937656640243,10.1583567501744,17.833493732364,6.95307277976977,4.59796187305816,94.5885424716444,3.22454800862526,2.15240097556997,28.5641890037642,43.4301771451475,84.2583355117086,0.314487805273245,0.530041105256093,0.593459256628955,0.204979499695425,0.0847215449626542,-0.207243135506115,0.156872836952941,-0.306686945556131,0.164296549179756,-1.38006072723573,1.12061038956889,1.22049391107624,0.914502889049828,-0.203148894045308,-0.971266992349278,-28842.9830840996
-4.92857216764785,7.65614387140011,1.25750888155672,1.77990728276411,10.0139639869635,49.0728557201804,1.37355403467919,10.2425536739479,17.871194607213,7.2011233797441,4.64463249357832,104.937373797413,3.25707242738736,2.127857939907,29.2623694964883,44.1035995348713,104.597746543584,0.348850524410667,0.564296206712119,0.631075305431806,0.244593446252732,0.125208182124386,-0.159141730446139,0.182025070539557,-0.27908339254148,0.188032508440937,-1.35435610673476,1.12226380325542,1.25220284217294,0.950317742174493,-0.173284971981147,-0.934600906248725,-28829.3677707055
-5.63975437137098,7.62612835239746,1.24784572698404,1.7228885941413,8.90874364531979,51.0780810552541,1.44395912950105,10.6883480532898,18.157157618465,6.95058358536547,4.68638144827168,116.694777062673,3.22090537547484,2.10983652662787,29.59708895075,45.3639752968757,131.678489617384,0.372792810901713,0.587457683830225,0.657648329346003,0.274275104188327,0.150374590196039,-0.13407250674101,0.20115558967802,-0.258039791727106,0.206694587181387,-1.33483746010621,1.1308975140259,1.275612612042,0.978497208092739,-0.149156291775149,-0.900821209731016,-28819.7921467676
-6.55288356571782,7.64328301386101,1.25137368980686,1.58054762728013,10.3517364314534,45.9541394674443,1.45418166726847,9.62798938391821,18.1765652314532,7.19888392089107,4.71188693306131,136.680901601877,3.29832783212542,2.10522853908577,29.125499933988,44.7125939652018,171.133077031676,0.387769231076117,0.599618486082573,0.671715968305998,0.281881924755652,0.1725978523068,-0.123917765261856,0.213102799129406,-0.239787647865495,0.224765724869785,-1.31628106323008,1.12675684285429,1.2867381829434,0.993626221186013,-0.127374455890947,-0.876681967088425,-28812.6627002806
-7.4313089498695,7.64430509041421,1.25848969411391,1.7449619850078,10.7070043734906,48.913473998614,1.43246851044416,10.9742746124841,16.052242823539,6.47927504725001,4.3563764036192,152.663831822277,3.1815356169231,2.11996674335008,27.7173165152575,43.2303345701444,208.733874542752,0.388178970978884,0.595826322735806,0.662045747457232,0.283317912302599,0.170925227822403,-0.13030881459914,0.221060318376959,-0.248327367905913,0.219571059137746,-1.32937397742075,1.1283176834904,1.29155597881673,0.992456534815709,-0.122756660046795,-0.875294976711529,-28809.3703504764
-7.99387374418172,7.67103479653112,1.27052039103758,1.77656398657582,9.976366805279,53.1595212194956,1.4338105814099,9.72420183643292,16.8906081237459,6.70399127259736,4.20016669189656,164.952857505759,3.17363613341559,2.1147745631012,27.1150781603321,41.6193074566464,234.293990515111,0.385683770082989,0.590167760252009,0.652954127814513,0.279647056583504,0.15917717643933,-0.139252042717317,0.208486382038729,-0.253136910520129,0.217889267229749,-1.33126680458903,1.12502724760206,1.28414306103412,0.987444829907504,-0.128649283832802,-0.878543769118268,-28807.3523183912
-8.54561413923245,7.66948277338816,1.27530772289155,1.67830842277628,9.61651082436036,49.8462543937869,1.45470312817036,9.83704908622793,16.4023831314619,6.82555258560994,4.42140025104357,182.671662785302,3.15141673581997,2.10188723885717,27.4721170578369,41.0868096119248,261.088764230403,0.386607214471878,0.590446306957542,0.649414515880142,0.278184194261028,0.155140160653947,-0.142244397919766,0.202741655779573,-0.249114162658873,0.216796062364864,-1.33468543415239,1.11707783556609,1.28062262462512,0.984916156625956,-0.134078289095224,-0.888232100127622,-28806.1761393577
