"","alpha_rplc.r.sll","alpha_rdc.nd.cmpnst","alpha_shrt.flghts","alpha_mdm.flghts","alpha_lng.flghts","alpha_dt","alpha_inslt.rf","alpha_inslt.fcd","alpha_rplc.wndws","alpha_vntltn","alpha_ht.pmp","alpha_slr.pnls","alpha_rdc.tmp","alpha_crtfct","alpha_co2.offset","alpha_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset"
"alpha_ht.pmp",-0.437029433168818,0.000481567487704597,-7.71301840824046e-11,-0.105527861008249,-1.34491588255799,-5.80995224996789e-18,-1.32892023510546,-2.81690499481486,-0.731707550901675,-0.112473637396531,-6.3586568813038,-0.130126779803567,0.028949274921439,-0.385380676442174,-1.53022803199578e-16,-0.109072470833414,1.29468225822375,2.00259914873043,0.223299291881161,0.433397597150369,0.229778148385243,1.16747201091511,1.20737385983348,0.801497021800459,1.16217280373316,0.368226920058274,-16.4853713178612,1.86768096266674,3.09913396993084,1.20633963087187,0.000425685903114245
"alpha_slr.pnls",-0.0256986130215082,0.00438029962524254,4.72376812738581e-10,-0.0162832341847588,-0.039165216828122,1.7512776942905e-15,-0.0927303621229768,-0.185376061065481,0.102536635801289,-0.00383329027380613,-0.130126779803567,-47.4269137592469,0.39705858837573,-0.182761008718574,-0.14173567139137,-0.476934155217069,3.99635614709989,5.64864901584694,0.850839400844967,1.54169178002466,0.662109738882329,3.49325008904201,2.9846311054074,2.08781817264928,3.06849856353763,1.25644250315013,4.75147260582623,-49.8377010727761,9.7036582496918,4.11647856840235,0.524179215689051
"alpha_rdc.tmp",0.491161625963122,0.0175365479591287,3.18474929362625e-09,0.624155135052351,0.0392192824325063,2.17357485370407e-16,0.0661582448643062,0.00477915703568981,0.0218383231999385,0.00132679598926025,0.028949274921439,0.39705858837573,-41.7952809146063,-0.881518442475932,-0.315473493375425,-0.632463063365157,8.91004025466734,13.7851405825416,2.2286523141869,4.45543623552695,2.31225455649409,11.2610076287947,1.30544989921894,0.932813487409749,1.35485421876662,0.594745604370135,1.63633824591363,2.763028009777,-85.4308683579495,12.8395732941732,2.62972496543836
"alpha_crtfct",-8.17695362803604,-0.00139660855190339,2.72294341375304e-10,-6.67962791576277,-5.26652864692635,1.03061688824754e-15,-0.473059564298506,-0.211050896342927,-0.655708800670784,-0.439236245114474,-0.385380676442174,-0.182761008718574,-0.881518442475932,-132.97356541473,-4.42115934214668,-6.85441093143827,8.12663485801295,14.0345343440632,2.23676848071722,4.7632759158938,2.40041586927936,12.4529773928802,0.68477063243589,0.459456590198072,0.677758283034043,0.391172867019177,0.445330091075734,1.74373638931666,17.092008258197,-88.3433749746961,1.10044896259416
"alpha_co2.offset",-1.12934804291889,-0.0050086201183887,-7.60694718699528e-10,-0.737366047268251,-0.312216991621542,-6.09876091409532e-18,-0.432707016787509,-0.203810099464421,-0.140046789385542,-0.0287876077466815,-1.53022803199578e-16,-0.14173567139137,-0.315473493375425,-4.42115934214668,-19.0455709658906,1.86591056284161e-10,0.448461008910079,0.672349072570097,0.186979169221818,0.220730512261012,0.112167658408227,0.559884221674983,0.0495686966784193,0.0346528643710908,0.0530772712994516,0.0209694679308073,0.0345890252331617,0.140888649181298,0.962412293069768,0.749682545611621,-5.21023508650765
"alpha_undercomp",-4.91369629360456,-0.00747385887020331,-6.59135507200358e-10,-2.23857427417637,-2.4783125874425,1.15109769715046e-17,-1.1455715017718,-0.960984624906266,-0.767794256603543,-0.143158030474544,-0.109072470833414,-0.476934155217069,-0.632463063365157,-6.85441093143827,1.86591056284161e-10,-32.7066621749803,2.75946735707196,3.65083415481485,0.576778803218871,1.01135751443569,0.443201523501011,2.84835793000747,0.385370686129354,0.248037898319996,0.373800907043502,0.153388275015751,0.346267871074329,1.01683245553616,5.17055264623182,3.47624253244612,1.69040324738024
"asc_rplc.r.sll",-81.3318948035441,0.111430546074627,1.41211687074466e-08,4.29764998996496,1.38500046652912,-1.96995758199113e-16,1.68753442736082,0.763502449695937,1.38212064660641,0.111101212328567,1.29468225822375,3.99635614709989,8.91004025466734,8.12663485801295,0.448461008910079,2.75946735707196,-591.002437136589,95.8393762709557,14.4665536626762,26.4131869070104,12.7836007385569,61.5540349236677,14.0824020354165,9.98297301797461,14.2308704165088,5.67637002185335,21.9567405454166,30.2246160000913,110.750730258286,67.3473593425695,16.3291360050173
"asc_rdc.nd.cmpnst",17.4204991557641,-0.915172459092701,2.03272259746067e-08,7.82617202831317,2.62297641355171,-9.31599492908404e-16,2.2017363978309,1.20869049300711,1.81127194191319,0.194145018506359,2.00259914873043,5.64864901584694,13.7851405825416,14.0345343440632,0.672349072570097,3.65083415481485,95.8393762709557,-868.419640546333,23.9491428475713,42.1649960364347,24.3123337638637,96.2030351908319,21.438222016047,14.4722845468191,21.5833638525871,7.99407118217216,32.8765971549186,41.975691170303,174.305711874171,106.001755966242,21.7487176000868
"asc_shrt.flghts",2.01089040878644,0.0205418050891225,-1.69277912060815e-07,2.30437100255959,0.638008728350419,2.49632624456652e-15,0.265039294744771,0.0906389126930876,0.213793505291278,0.0257189033140429,0.223299291881161,0.850839400844967,2.2286523141869,2.23676848071722,0.186979169221818,0.576778803218871,14.4665536626762,23.9491428475713,-169.937431974535,13.9579708032138,7.02727220514518,16.0775532134877,2.86978226700477,2.04716413132019,2.92536069795437,1.08040580707633,4.45701208681383,6.38051120119292,29.8475296648558,17.4959215858727,3.77508436996915
"asc_mdm.flghts",3.69927403054395,0.0425781750449157,1.50024611805093e-08,-55.6190126944137,0.906089419523779,2.07674052483338e-16,0.547845656148423,0.234949633230357,0.466246921626692,0.0442885289308119,0.433397597150369,1.54169178002466,4.45543623552695,4.7632759158938,0.220730512261012,1.01135751443569,26.4131869070104,42.1649960364347,13.9579708032138,-295.053995312134,10.9513499005017,31.1419926525521,4.99825770235519,3.52712243331582,5.00230831213231,1.94856782017781,7.85907229228596,10.6905464468326,53.3486641765718,32.0100003077113,6.67998368631701
