"","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","b_dt_diet_flexitarian","b_dt_diet_omnivore","b_dt_diet_vegan"
"gamma_rplc.r.sll",-4.00608398248557,0.1802598646714,0.0215746172130418,-0.00684729643068809,-0.00261670424464022,0.0938846077421039,-0.00539082053224686,-0.00356555718305488,-0.00553188576076016,-0.00262200094397596,-0.000855341255958132,0.0163085199249238,0.213643175408036,-0.0242386466208,-0.00314874263477468,-0.000333750944772293,-10.465956746719,2.1967861458743,0.262861563284436,0.488736617765062,0.242483082625012,1.04596096497467,0.253458776975838,0.16776773445975,0.245333953917961,0.0960448999794037,0.283968058673104,0.440687421979771,1.88251962995338,1.15947591276655,0.162463085840114,0.184949477334112,0.831901089113827,1.24327971035995e-17
"gamma_rdc.nd.cmpnst",0.1802598646714,-248.352363548794,0.601368860975674,0.116752754360073,0.00255036301582422,2.17915018165834,0.0121641487372552,-0.000945008002554059,0.0252860367342532,0.0048840462960607,-2.75054183103359e-05,0.467075451605503,4.85050632850812,0.035516708896737,-0.0083482093192196,-0.000555416573892206,15.7477512104535,-134.24375623887,3.25729373445835,6.35862498988846,3.17466869431771,15.3908517008565,2.46354396180947,1.75151096201024,2.47494954490265,1.05761217362094,3.00277976984966,5.61302046814977,26.3148466689607,18.2405886842052,3.94091142736372,3.2052410487608,11.2979619378323,-4.019174740605e-17
"gamma_shrt.flghts",0.0215746172130418,0.601368860975674,-33.2284492827947,0.0483491615025729,0.000400160280491624,0.338326807724919,0.00220092583465379,5.53304358762209e-05,0.00298411568357734,0.000382561825914811,-2.47468863477874e-05,0.0606791661074069,0.796779254306905,0.00510473716035213,-0.00207314413644044,-9.30226373048592e-05,1.86889882784884,3.31497958566932,-25.9809527385264,2.37465908020111,1.22162671927143,2.58489307113283,0.309862638695709,0.245083805610845,0.334760404322344,0.130436723674647,0.487943128254379,0.736541268031997,4.46713051902113,3.11899405406894,0.604322117333274,0.582250408839228,1.89655320586662,5.3726864228709e-17
"gamma_mdm.flghts",-0.00684729643068809,0.116752754360073,0.0483491615025729,-1.27405874476816,-0.00327409872319573,0.0587230627320857,-0.00160773709127389,-0.000400261532378104,-0.00144519266663132,-0.000868742858875619,-0.00020263340311379,0.00266217395344946,0.156924604774445,-0.0140860561316026,-0.00147455210890183,-0.000106209716054127,0.403674116331285,0.760774028467799,0.247290402094599,-5.38849390005131,0.214988297984851,0.618711936129789,0.0585814945451327,0.0406320720265484,0.0596420303198846,0.025152720641612,0.0756943830169055,0.131503802544661,1.00013247635901,0.705347860439099,0.085957301387951,0.141733382290836,0.44131167270694,8.36568090510728e-18
"gamma_lng.flghts",-0.00261670424464022,0.00255036301582422,0.000400160280491624,-0.00327409872319573,-0.0153153999598876,0.000312146065660828,-0.000527098227462773,-0.000333305893624599,-0.000669535838616146,-0.000310052049963232,-0.000103978786435754,-0.00109239599124251,0.00348981733309042,-0.00316160778307363,-0.000144903257512709,-2.92609611863214e-05,0.0307973316624692,0.0583019286601789,0.0147462996840777,0.021817674335964,-0.381612291133993,0.0385798709231177,0.00494432665856615,0.00337172651899789,0.00490055416297837,0.00210462112931903,0.00651925346581086,0.0119243574631321,0.0799438064216169,0.0449989555106673,0.0027824728094638,0.00829591208605691,0.0274027748517089,1.5681253444204e-19
"gamma_dt",0.0938846077421039,2.17915018165834,0.338326807724919,0.0587230627320857,0.000312146065660828,-161.643366404845,0.00285331371466124,-0.00093002910397753,0.00673870371133818,-4.3882776603194e-05,-0.000163906514736332,0.1936693040995,2.624770896823,0.00692299510709237,-0.00455513015589527,-0.000347963166609264,6.43076179730177,10.8785331253351,1.88476505656479,3.31474832147054,1.63741410966182,-69.0328394088466,0.93280160249566,0.66249530274789,0.958762685581249,0.432984116707998,1.18070978460631,2.1896026154277,12.8146309790455,9.80229507258285,1.82773420705243,-6.21405116528169,-60.6895338726414,4.20965658564354e-17
"gamma_inslt.rf",-0.00539082053224686,0.0121641487372552,0.00220092583465379,-0.00160773709127389,-0.000527098227462773,0.00285331371466124,-0.853107030064711,-0.00982285910308375,-0.00989890138599976,-0.00356263679268753,-0.000512018026686672,0.00829300018633619,0.0186001815317394,-0.00132324580247257,-0.00102554182584946,-7.84942367270365e-05,0.169954003597159,0.219615012994789,0.0273523795519979,0.054680382096218,0.0231886845772852,0.143693631901152,-2.17162261759889,0.116573272611671,0.167614944639835,0.0461834456925767,0.22111788337641,0.222092125451503,0.386932534687896,0.167712850280896,0.0122447340383958,0.0241086079272491,0.114251511747225,6.23569230489147e-18
"gamma_inslt.fcd",-0.00356555718305488,-0.000945008002554059,5.53304358762209e-05,-0.000400261532378104,-0.000333305893624599,-0.00093002910397753,-0.00982285910308375,-0.183932046441769,-0.00460513618700203,-0.00174811877845952,-0.000455750058247902,-0.00147215258261669,0.000759284927694494,-0.000655003260567568,-0.000378446003768261,-4.23816056925678e-05,0.0406560383831189,0.0628783902178989,0.00457293697829172,0.0120788941260818,0.00615810908833905,0.0377397277067736,0.0360308752490184,-0.563127148330628,0.041910549993964,0.0113261987102755,0.0619271436647303,0.0530351439642085,0.102866313585902,0.0422385777350861,0.0018801829525637,0.0054470213782374,0.030366688939439,-1.54353489085918e-18
"gamma_rplc.wndws",-0.00553188576076016,0.0252860367342532,0.00298411568357734,-0.00144519266663132,-0.000669535838616146,0.00673870371133818,-0.00989890138599976,-0.00460513618700203,-2.01967415764859,-0.00177890909659815,-0.00067492020442392,0.0204336621366881,0.0267363234450216,-0.00290791027925793,-0.000674270773468871,-8.94981966556678e-05,0.244722109500561,0.316644388220648,0.0375122049741445,0.0802491796588541,0.0343067240588999,0.20677876431041,0.228364716964915,0.173237655411498,-3.15032369808813,0.0663883217455012,0.327936162242112,0.360445138608827,0.55422158653794,0.231959884886928,0.0188625671244087,0.0338257233558027,0.166870681775027,-1.44261228767357e-17
"gamma_vntltn",-0.00262200094397596,0.0048840462960607,0.000382561825914811,-0.000868742858875619,-0.000310052049963232,-4.3882776603194e-05,-0.00356263679268753,-0.00174811877845952,-0.00177890909659815,-1.55662179167327,-0.000153712598388341,0.00324038409015872,0.00580929846258259,-0.00398060199933559,-0.000234802510348484,-2.71996483020236e-05,0.0344907802583473,0.0601521526116079,0.00894840694058646,0.0138325540816849,0.00992048888891549,0.0375540453472138,0.0246696763274333,0.0180117802332892,0.0278197868045401,-0.51563612934838,0.0248379378235728,0.0629807444358589,0.0852084346891804,0.0446788568676462,0.0032375845521462,0.00732049206965326,0.0286295248226386,3.08884810268731e-18
