"alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","b_rplc.r.sll_initial","b_rdc.nd.cmpnst_initial","b_shrt.flghts_initial","b_lng.flghts_initial","b_dt_initial","b_inslt.rf_initial","b_inslt.fcd_initial","b_rplc.wndws_initial","b_vntltn_initial","b_ht.pmp_initial","b_slr.pnls_initial","b_rdc.tmp_initial","b_crtfct_initial","b_co2.offset_initial","b_undercomp.w.offset_initial","logLike"
-15.2477403678541,7.181416086019,1.32131741295386,1.78607334817305,9.29867241334119,31.2561338687467,1.49045371391282,9.50648848364748,15.5462392003607,6.6738943351269,4.3055496462472,60.9980757411319,3.35152218360281,2.25609391467766,17.7357654705811,16.195061334556,21.5144840143284,-5.05539657524407,-4.34378150297959,-4.63065131263252,-4.84686161964719,-4.94126014404159,-5.27646384488459,-5.11665893620071,-5.12311563764628,-5.32747205786271,-7.03655020702567,-4.58651474370308,-4.37265426827161,-4.39587406985825,-5.29748686886251,-6.34431816365163,-4.29185541570497,0.0513381449334907,0.00409226273691349,0.0157510123775661,0.00877595611521307,0.0170086397451108,0.0360032235416744,-0.0170854244409196,-0.061786232200975,0.0114562952405165,0.0369406485892717,0.0316561252990196,0.010840577559583,0.0069527680071136,0.0263922082969418,0.0597085651440449,-0.0631632690113795,-0.0525298543874851,-0.0790335568799273,0.014698972136455,-0.0206598110055203,-0.112511636143003,0.147079321969678,0.134039754736684,0.124386995555597,0.098342665070327,0.126066788816939,0.166599023373349,0.100269804086141,-0.033425374982681,-0.0807758445200014,-0.00614984244211061,-42381.5908759665
-15.5090393564332,7.1824482497722,1.32131718487045,1.78611895259369,9.29326009452132,31.2395029801972,1.49089372665337,9.5196945213175,15.543671160902,6.6720165281464,4.30368344213303,61.1232229823144,3.34944144060247,2.2563930394616,17.7408008198702,16.2003640307651,21.5207991297504,-5.05511284090879,-4.34352141402208,-4.62995403924692,-4.84643661934051,-4.9403361231167,-5.27649554817342,-5.11592296016283,-5.12325512443814,-5.32729079316848,-7.03597878283552,-4.58628001236568,-4.3724568547762,-4.39557602529797,-5.29719344222492,-6.34388357563296,-4.29142983952075,0.0513257025930312,0.00408397982631979,0.0157433811057247,0.00877293266682088,0.0169840732453201,0.0360029674591108,-0.017106217433915,-0.0617505206279947,0.0114458819843806,0.0368792978551036,0.0316530166122206,0.0108261149983982,0.00694134532905207,0.0263789621071615,0.059692271918824,-0.0631798070722883,-0.0524421804062161,-0.0789815049661787,0.0146145988645972,-0.0207238653014465,-0.112367234528386,0.147000834736737,0.13413080437478,0.124510655311642,0.0985227754655221,0.126108469773868,0.166719416889247,0.100308662074005,-0.0333407133115258,-0.0806418595382604,-0.00603813865018471,-42381.5903672721
-15.7317553823933,7.18073274582021,1.32158804124345,1.78457669943093,9.29359039515133,31.2370321339634,1.48963934294621,9.52873488047216,15.536927919589,6.66646909298238,4.29938230488385,61.1012310996316,3.35029476936384,2.25610431839396,17.7489149277304,16.2048492158654,21.5253351947462,-5.05521357497201,-4.34373141667296,-4.62957861070332,-4.8467421609138,-4.94030984574846,-5.27631918585528,-5.11568755819312,-5.12353268508205,-5.327803766675,-7.0359559241733,-4.58655630075965,-4.37257217757957,-4.39573347102883,-5.29754497716225,-6.34438653175261,-4.29179182184104,0.0513733076278991,0.00411420059381676,0.0157802310016186,0.00880333414471953,0.0170375134778401,0.0360315194419539,-0.0170613338989557,-0.0617543643366708,0.0114773688425209,0.0368907236442459,0.0317072794700493,0.0108585481638348,0.00697306941363999,0.0264277394448764,0.0597876466393847,-0.0631087182277944,-0.0526170064770212,-0.0790416303441366,0.0142983802011842,-0.0209719412262662,-0.112601945544581,0.146734412362918,0.134200079092343,0.124559784139067,0.0984923502085244,0.125980699813914,0.166623041358666,0.100229242087041,-0.0334364962752166,-0.0809150798812633,-0.00623605465853337,-42381.5902617574
-15.8945462535622,7.17839333835969,1.32168028480897,1.785669366921,9.29256680742157,31.2262812452837,1.49077595179151,9.51708848762818,15.5444256787585,6.6715259643877,4.29820681946225,61.1379437989005,3.35166617091794,2.2561423854822,17.7451099796598,16.205695902352,21.5280949467117,-5.05525886321035,-4.34392322702648,-4.6300122101318,-4.84683423332459,-4.94036003203805,-5.27685573247639,-5.11627878584324,-5.12323902770747,-5.32770929689422,-7.03599694854601,-4.58688923281101,-4.37270827520266,-4.3958886012121,-5.29778421752884,-6.34472209383354,-4.29209597272495,0.0514127551958741,0.0041469035334063,0.0158078043298524,0.00882253733654658,0.0170773258210142,0.0360635810129279,-0.0170174376286121,-0.0617649740814213,0.0115094715039951,0.0369137662474959,0.0317485460367719,0.0108908123655414,0.00700198182980862,0.0264672879532646,0.0598496962888888,-0.0630539346436725,-0.0527330156212441,-0.0790668936831982,0.0143995623147622,-0.0210765349381418,-0.112446482811156,0.146843913647781,0.134142922125553,0.124441757219138,0.0984958637663785,0.12596599485472,0.166589330403609,0.100206890555855,-0.0334737379070651,-0.0810058930016104,-0.00629306471970815,-42381.5901481918
-16.065030526358,7.17921521955724,1.32163764531334,1.78523769757972,9.29400326535868,31.226496886979,1.49071943835322,9.5213810046893,15.5398628739267,6.67240893942669,4.30057931854645,61.1130032429627,3.35075031040817,2.25617440265618,17.7445176482027,16.2011862340206,21.523403426368,-5.05496752684431,-4.34361939990134,-4.62980152518079,-4.84643056760507,-4.94015297831988,-5.27649600812121,-5.11593836925931,-5.12308319849588,-5.32744314453727,-7.03604853071066,-4.58643700668449,-4.37245493123324,-4.39569011270977,-5.29731205120717,-6.34377104423452,-4.29143048775886,0.0513610159893063,0.00410469966772184,0.0157652139621073,0.00877406401377876,0.0170224244698796,0.0360184687825375,-0.0170601642295514,-0.0617912270520881,0.0114738834927856,0.0369110802129354,0.0316900499253854,0.0108499829978908,0.00696565121179302,0.026404603858888,0.0597325848576963,-0.0631459447124541,-0.0526662811284162,-0.0790475946811761,0.0144463690645686,-0.0209763400364076,-0.11244170455323,0.146842648024463,0.13416410607077,0.124440113678858,0.0984607489632862,0.125999372461944,0.166615590181191,0.10024579222817,-0.0334391646224107,-0.0809464639579327,-0.00623360250042575,-42381.5900028895
-16.3011598347711,7.18131426910268,1.32156798848383,1.78517386496095,9.29407852074324,31.2274721237579,1.49016067653548,9.51777145188561,15.5553752495696,6.66910104550038,4.30194392915929,61.1141779940541,3.35054090321803,2.25619085405724,17.7456925511295,16.2006495402049,21.5224790438857,-5.05509531863539,-4.34362557732093,-4.62996944319193,-4.84646787437434,-4.94031962454872,-5.27630457617704,-5.11617394928137,-5.12293016679541,-5.32747808380777,-7.03600081843791,-4.58642534712921,-4.37251835156648,-4.39572725568781,-5.29737207573487,-6.34384782173942,-4.29150685762117,0.0513514690767182,0.00410143741543794,0.0157625883684632,0.00878004589612386,0.0170139946476262,0.0360120887549415,-0.0170606339304773,-0.0617750188817814,0.0114588625347842,0.036905297952173,0.0316820679938246,0.0108472149556958,0.00696074860943307,0.0264022385871397,0.0597279993773065,-0.0631504116973752,-0.0525481316988174,-0.0790126401809552,0.0145256383068667,-0.0208573307956985,-0.112495091464099,0.146953677109274,0.134062425860613,0.124520420092599,0.0984549473003197,0.126047830576848,0.16665317402777,0.100292606426599,-0.033379401861939,-0.0808402395627808,-0.00614511935518883,-42381.5899896728
-16.4338580972512,7.1812203860769,1.32149018996098,1.7852342157142,9.29342067489413,31.2321406534329,1.49049683508488,9.52245115945836,15.5439677736501,6.66998856028432,4.30147723425428,61.0978086209037,3.35018857594297,2.25627668068199,17.7440808788801,16.2016066208258,21.5227288494092,-5.05532693050771,-4.34379687732679,-4.63013465319338,-4.84672219634533,-4.94065564891912,-5.27658966263197,-5.11616428709672,-5.12339170151446,-5.32768717807311,-7.03628697521316,-4.58662740649637,-4.37266539209793,-4.39589034782907,-5.29765206104873,-6.34437473206772,-4.29189542566369,0.0513679416419077,0.0041149554234225,0.0157760081816728,0.00880018894455764,0.017033716317783,0.0360263839434465,-0.0170506167101362,-0.0617600775751365,0.0114758895193383,0.0369225724670416,0.0316991668800406,0.0108585357900148,0.00697381030974456,0.0264238106340692,0.0597684942700493,-0.0631206834042737,-0.0525475618207477,-0.079015915131315,0.0145218528138667,-0.0208324071089466,-0.112446156254158,0.146885334725183,0.134167158746638,0.124511384030189,0.098472173734437,0.126045382547732,0.166655645871421,0.100289586881813,-0.0333787305195435,-0.0808293105991501,-0.00614094334165496,-42381.5899246627
-16.5899915055919,7.18032343206982,1.32154393884093,1.78530905283526,9.29338965865154,31.2326719417015,1.49047235472484,9.52156863912778,15.5385029695425,6.67228002341026,4.30046700155147,61.1014174699818,3.35041937109553,2.25623506176236,17.7446093802583,16.2030533247136,21.5246560519844,-5.05501707921799,-4.34359427109729,-4.62988105213447,-4.84652580129704,-4.94036622503243,-5.27640170303957,-5.11590038967766,-5.12330249045795,-5.32744601925884,-7.03604384373195,-4.5864269452573,-4.37243001397963,-4.39566740259127,-5.29736244646055,-6.34396148088671,-4.29148751246797,0.0513579193734815,0.00410394726588577,0.0157666554978929,0.00878343384203924,0.017025165854261,0.0360173563708154,-0.017064461617769,-0.0617705023794055,0.0114741756015754,0.0369076072802479,0.0316891483292492,0.0108484177590932,0.00696397749507773,0.0264090291289992,0.0597517807412061,-0.0631404285851311,-0.0526328613826677,-0.0790528711203473,0.0144607344048216,-0.0209150689573404,-0.112482109753531,0.146836462644723,0.134184218048132,0.1244420746564,0.0984492920184598,0.125999445351328,0.166613287295439,0.100245017855068,-0.0334363237261797,-0.0809416616456955,-0.00622942710347596,-42381.5898838728
-16.8028285211681,7.17922648965317,1.32158377914332,1.78539417406456,9.29324755563911,31.2284728686093,1.49061502633695,9.52193863776067,15.5406449534149,6.67073633166144,4.30000802363559,61.1128543550294,3.35076996830551,2.25616810717409,17.7447257233428,16.2022243936603,21.5230776959717,-5.05495414329369,-4.3436136162134,-4.62988979038988,-4.84646172867316,-4.94025454098853,-5.27644071157189,-5.11587490539516,-5.12326557043434,-5.32752556697394,-7.03606713231679,-4.58643641211064,-4.37242710243283,-4.3956566984926,-5.29731406998834,-6.3439101194567,-4.29141900980693,0.0513561094382168,0.00410143458727822,0.015762911125424,0.00877481874458884,0.0170189419490368,0.0360144291925386,-0.0170658525582932,-0.0617770512244356,0.0114723522278005,0.0369049620600617,0.0316871222506328,0.0108471258838209,0.00696048709246273,0.0264026769203908,0.0597422750546521,-0.0631506937460435,-0.0526681752517281,-0.0790475049992657,0.0144643634514192,-0.0209470742265127,-0.112459419731005,0.146827774893518,0.134183342076381,0.124474616401645,0.0984757984193705,0.125994928471892,0.166607935241688,0.100243523884858,-0.0334449253838716,-0.0809503508480703,-0.00624039549250236,-42381.5898552512
-17.0997628569669,7.17902640940267,1.32162609256307,1.78532097497823,9.29378118213069,31.2265259888973,1.49058584941907,9.52144196496222,15.5412513724915,6.67150014730292,4.30034723583476,61.1133996052516,3.35074751651144,2.25614216772213,17.7452489152017,16.2012135221527,21.5224738166692,-5.05499863182471,-4.34368361307646,-4.62995074019347,-4.84650486129736,-4.94029834900377,-5.27647826772183,-5.11599921629153,-5.12322713195593,-5.327541027428,-7.03612305008807,-4.58650655561263,-4.37248912002571,-4.39571062238394,-5.29738876117595,-6.3440251574902,-4.29151231470535,0.051363671197244,0.00410798757545253,0.0157682181757011,0.00878034838568572,0.0170261917135999,0.0360197587128053,-0.0170547486935859,-0.0617793582757117,0.0114781974486393,0.0369145020797892,0.0316953003777123,0.0108534478909031,0.00696623318975294,0.026410481167546,0.0597553970327223,-0.0631390083674217,-0.0526723481264227,-0.0790389772772052,0.0144729322153061,-0.0209479496857339,-0.112459818428535,0.146845179385355,0.134176359919408,0.124460040749992,0.0984698079794313,0.125999950334927,0.16661277753399,0.100246987483517,-0.0334346260085948,-0.080939650906308,-0.00623466165352727,-42381.5898175417
