"gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp","logLike"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59030.9412429543
1.21658993365718,1.06336115621157,1.2517991433661,1.23347749601741,1.22340631842143,1.05056874499092,1.15256410249669,1.15541966476589,1.14046773547734,1.16081717896144,1.16680616153045,1.11575802681887,1.13099249612,1.25926312107271,1.2858356004995,1.23350779428978,-0.0269447557673552,-0.0215867206254806,-0.0258086096850858,-0.033613332795629,-0.0252246632549409,-0.109543423446353,-0.0452802190823689,-0.102191655093004,-0.0575276421076025,-0.193597865991949,0.0802922875348614,0.0582504256359715,0.0469776285579754,-0.0549243810848846,-0.132217796366319,-0.0368509989889736,-57918.5135731693
1.55244972838125,1.14696798857802,1.43944660533857,1.55821836456329,1.60243038876645,1.10589092502374,1.31841331749564,1.35470795232583,1.19227440394552,1.21453896874729,1.71719242724991,1.07395147092728,1.19798773811206,2.02463759039948,1.93264113030744,1.8231582229129,-0.485997663144728,-0.451258403919221,-0.489649281269586,-0.505285019408864,-0.467677927823001,-0.573670769682116,-0.485477152671231,-0.599602780494715,-0.517062534312869,-0.664689105398678,-0.456600105782196,-0.333974463174303,-0.386932232274785,-0.633135352929487,-0.676965003090509,-0.549350963274447,-55536.4489905672
2.67264805806826,1.34899998686206,1.88464801741093,3.15084628790541,3.32499918962378,1.4504505809539,1.95581112254142,1.89485975533131,1.83282106481911,2.51943078625446,0.680952744071263,1.39861969620124,1.58073253880615,2.0442404253022,4.78189701279992,3.43737252102342,-1.55587884227893,-1.45548600210657,-1.533945733497,-1.70116414823348,-1.62150576705211,-1.86975872754752,-1.54456837681791,-1.83674281564825,-1.73464683344568,-2.53974663059462,-0.379681060998184,-1.19541840516914,-1.19486442230637,-1.42634163458777,-2.3720744251242,-1.7372723992768,-51101.2126848264
3.8621246679157,1.36834293723529,1.23027137256566,4.16165984518663,5.01093038501592,1.22737997565706,2.52736802487373,2.74838854097523,2.13487979783799,3.48131113052875,0.810104462256962,1.4072098713483,1.72585933641224,4.90682761006558,4.06290219970056,4.88709650009626,-2.51694018289804,-2.41981839810821,-2.49604601435913,-2.62767044721862,-2.56764105979361,-3.07877380006967,-2.53858840160725,-3.0126937910219,-2.73776854996913,-3.97986470690782,-1.00696667456292,-1.92140120959872,-1.97505160332329,-2.64514558557442,-3.41258613427671,-2.60178381329337,-47622.3863824464
6.03133584020179,1.4935990598186,1.44652722764843,7.24776583686153,9.62912854692621,1.51177618887696,3.70188763346509,4.02936483780934,2.83784982915111,5.22382910155356,1.37839270382445,1.50163696688791,1.98053087793754,1.69990599858447,11.0724619137922,11.5128108214476,-4.72442381130079,-4.57648332971221,-4.70464416420855,-4.86379393958233,-4.88174418041392,-5.47388275238577,-4.77471608250252,-5.35531628208099,-4.98103577681688,-6.57462517645408,-2.99626314844286,-3.86039656982101,-4.00836686245623,-4.71922081899119,-6.90431276090302,-5.22648180287,-44399.6853899281
8.61692979248823,1.61818070901459,1.55417268792997,9.9307460688196,20.813495136815,1.33442909187322,4.44357994494683,4.97224516397458,2.85532629283325,4.57640566892125,2.81249099682692,1.52028174719657,2.21215258904047,6.09055082512058,15.5886092316688,17.9506307094907,-4.6156687493892,-4.58225168688719,-4.65783018795123,-4.69918478287483,-4.88870083724854,-5.43554569565721,-4.71896227857067,-5.30827424111194,-4.93312425125019,-6.4252654369092,-3.19332487823126,-3.86183584109005,-4.01574463601051,-5.66619812959796,-6.38483546761975,-4.84729140096252,-43474.8909936335
10.8604944984459,1.53169227199815,2.39449520932085,9.33306532737656,50.3841896954977,1.59876078430555,5.1245872946443,7.51943687829784,3.07482664770289,1.85521018835503,8.26831220154156,1.59106840850739,2.28090605060309,16.7905402043427,21.4176433167825,25.171325732388,-4.26852006524082,-4.28672083116063,-4.15246504979933,-4.24225898809777,-4.34567467406697,-5.00550692328383,-4.41843382318285,-5.01879054050104,-4.57782797177649,-5.89117819824093,-3.41792987673088,-3.5717382768505,-3.76245017213258,-5.30661904967262,-5.26929640293247,-3.95113339615412,-43371.4894638993
7.6697871933311,1.48475582131936,1.0845423903004,10.4126506631645,46.1534427327298,1.63526054956713,5.99515065237748,8.67687253902892,4.10586407455301,2.74667298301924,11.0828725408846,2.2659882532847,2.00074519302481,16.9791753115889,16.2528369070989,20.8905849934459,-4.74611160172667,-4.59970185435982,-4.57724785018411,-4.75508768623008,-4.82967138104721,-5.33859794529502,-4.91163338140413,-5.3143075102206,-4.99636441338788,-6.52914214086486,-3.81324338452633,-4.00328119319249,-4.21127076787605,-5.47504127718265,-6.3407565353131,-4.71785203211612,-42805.3832402282
8.99168042464949,1.51380150729157,3.27121947048454,7.68964772510615,6.98008159431156,1.76617719604542,7.0734196508398,12.0890581138462,5.04001725457191,3.45019407618159,28.3028122743949,2.5766253321143,2.34135473787711,18.278998783191,22.0777766376655,22.7794046738312,-4.59833831837841,-4.43051764540959,-4.72198420142084,-4.67521329516032,-4.70535142635941,-5.13630958337315,-4.77542599898724,-5.19086491965208,-4.82370152730241,-6.32275961506167,-4.02664426787129,-3.85384370461299,-4.0816260893979,-5.02540549663018,-5.94183733157106,-4.4838950585937,-42748.2517302561
