"alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","logLike"
-9.77859694322819,7.23661550684579,1.32772442315133,1.79523650584968,9.3055521695169,31.0201651602113,1.50103023333025,9.52301225188972,15.7336744116008,6.68395743797213,4.27431424267561,63.7506626627736,3.39727129160431,2.28804445518745,17.7872824673382,16.1926323840924,22.0302142341626,-4.68515390462106,-4.48383438094061,-4.43042597578415,-4.76241478147025,-4.84209189781976,-5.18237516798259,-4.9343054623205,-5.38447300679373,-4.924738727064,-6.44573367560589,-3.87081082839854,-3.89744445559356,-4.12182486417552,-5.12079228195542,-5.96954784516588,-4.86215753383511,-42513.4795890495
-10.0361642323606,7.24361773697137,1.32939450163297,1.78962212868155,9.34843741294659,31.0914544513389,1.49744798135527,9.55812389826173,15.6589299676782,6.66727743886062,4.31504001622755,63.159050851865,3.39793302161602,2.29002364248069,17.826450010258,16.2575151420627,22.0164835169859,-4.68602849622762,-4.48440474131694,-4.43437232442046,-4.76223975449684,-4.84286707237507,-5.18308524206821,-4.93490959098117,-5.38658915399586,-4.92633190222458,-6.4465199960782,-3.8711438287346,-3.89875020729944,-4.12241951489986,-5.12150255331685,-5.97091845060794,-4.86437050982694,-42513.4347893529
-10.685998503341,7.25137675639949,1.33115452639525,1.78574343287285,9.29252689130807,31.1736205042919,1.50230843199386,9.56236023031984,15.659379272329,6.69439795846471,4.33354389806326,62.8449212439931,3.38954923594631,2.29271765148857,17.8009350198105,16.3375062107617,22.0634905532575,-4.68612835500693,-4.48441092979981,-4.43907908062013,-4.76180612540622,-4.84394396141437,-5.18308368458703,-4.93557507255753,-5.38748714733147,-4.92693645455758,-6.44665612949638,-3.87082040617886,-3.89889203214642,-4.122285136761,-5.12136801525325,-5.97078282965603,-4.86559058675997,-42513.3726568556
-11.5507740831502,7.25389315909118,1.32982966696999,1.78783051909597,9.29539211582263,31.3652444087023,1.49738879077458,9.56890594060635,15.6830526449654,6.67888523904473,4.29267908277051,62.7501859910021,3.39640324368126,2.28805843003277,17.8280052845598,16.216140900665,22.0018592136195,-4.68546810256044,-4.48437355495052,-4.44016062850501,-4.76216907832885,-4.84319609946664,-5.18215395165711,-4.93530987514284,-5.38702646789338,-4.92637676386336,-6.44669844863722,-3.86959714805571,-3.8976762301218,-4.12188126372811,-5.1189825185339,-5.96594774284048,-4.86316988556495,-42513.3414300209
-12.1155697643588,7.24536958682294,1.32938278051245,1.7919064301416,9.31778044291194,30.9332020505584,1.50117696184387,9.5813729358223,15.6545896655322,6.69051073111357,4.29252997957585,62.9793168149127,3.38693665731452,2.28966887309372,17.8069837185245,16.2324859200843,22.0664507231677,-4.68564093007208,-4.48478863197349,-4.4400429804184,-4.76420561784809,-4.84450565850318,-5.18229660156708,-4.93604874695386,-5.38654250484246,-4.92658812016835,-6.44764621400653,-3.87005620439371,-3.89737191840483,-4.12220716883688,-5.11983954891407,-5.96769148899367,-4.86415655044057,-42513.3282784289
-12.4599606838518,7.2417107246471,1.32982283665999,1.78675447661236,9.29852146939337,31.2006618884884,1.50389436158619,9.5420502535254,15.704449913489,6.69268704548664,4.30439227641384,63.0469068001743,3.38591470550567,2.29156644971439,17.8007605403653,16.2811264341631,22.0522356803215,-4.68585759451665,-4.4852040867842,-4.43962767960385,-4.76510364880654,-4.84600363832363,-5.18275349082436,-4.93640089005177,-5.38663845612427,-4.92689716607093,-6.44775867604978,-3.87055032778483,-3.89786397601776,-4.12263143145678,-5.12067916960932,-5.9690649598526,-4.8648657990245,-42513.3210817073
-12.812839504105,7.24698045215098,1.33067228304068,1.78814086368252,9.27643763719542,31.2532871674775,1.50292422412326,9.54749092172825,15.6510657676559,6.69616107836783,4.3114573554065,62.7734116263157,3.38885619656569,2.29156677028175,17.7985979303507,16.315133953849,22.0649483928846,-4.68539781002619,-4.4849500523531,-4.43945767958508,-4.76475129212407,-4.84589338899535,-5.18275240579415,-4.93589546837109,-5.38721542887795,-4.92710919664673,-6.44764800180668,-3.87017246539085,-3.89795738210985,-4.1224464193774,-5.12059824151239,-5.96928467522943,-4.86430708596966,-42513.3173332294
-13.2628302378436,7.24957303479807,1.3309346708782,1.78413664257551,9.28318724101881,31.2632665176393,1.50214454947493,9.56406280648241,15.6527526272677,6.69561530950097,4.3117396460767,62.7815997279382,3.38681258618968,2.29151313918667,17.8060590865486,16.3035848643098,22.0492903827828,-4.68539407714735,-4.48494618851978,-4.43974033443027,-4.76428856487825,-4.84570078672454,-5.18287710582999,-4.93583672088595,-5.38731943466711,-4.92710831245361,-6.44740232281011,-3.8701436151217,-3.89808974633228,-4.12253781741837,-5.12073778394758,-5.96939667163894,-4.86402741688753,-42513.3143508158
-14.1055148482535,7.2501559764949,1.33057644248786,1.78839680820776,9.28824971261563,31.206306662894,1.50183649398256,9.54910790669186,15.6924804874074,6.68868584746438,4.30890354653942,62.7756830717134,3.39013149434091,2.29110020860053,17.8135623352423,16.2885787941284,22.0452735702388,-4.68563560825296,-4.48500169091308,-4.44017799992051,-4.7638068706656,-4.84523891707502,-5.18297731516946,-4.93596445146139,-5.38740361596003,-4.92700148358066,-6.44728329708355,-3.8703510522537,-3.89831904133917,-4.12263909881127,-5.12090181657663,-5.96965503031083,-4.86388923104737,-42513.3116408075
-14.7945885587838,7.24740635820026,1.33012171225224,1.78871722040377,9.28890566222262,31.2428625921051,1.50288802911614,9.56866278682846,15.6444538081851,6.69833230100479,4.30319182213086,62.9575515238904,3.38895472160875,2.29086617847272,17.8012785434559,16.2789841340538,22.0512613015433,-4.68580290321796,-4.48496678569843,-4.43993036189217,-4.76375569286547,-4.84499539692682,-5.18289410937144,-4.93602363455941,-5.38687992763101,-4.92675121097271,-6.44741426563267,-3.87045981431336,-3.89799368372912,-4.12257450656317,-5.1208294821981,-5.96959331922467,-4.86378838015431,-42513.3108534471
