"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","b_ht.pmp_re_heating_oil","b_ht.pmp_re_heating_electric","b_ht.pmp_re_heating_gas","b_inslt.rf_re_standard_old","b_inslt.fcd_re_standard_old","b_rplc.wndws_re_standard_old","b_vntltn_re_standard_old","b_slr.pnls_re_standard_old","b_rdc.tmp_re_standard_old"
"alpha_base",0,2.33283611725521e-17,-1.04025892773659e-16,-1.15858729726113e-16,4.35345226007693e-17,3.52121904009319e-19,1.16041068575429e-16,9.20902286578833e-19,7.63798515219149e-19,2.68784998886819e-17,-1.72681476521248e-17,1.25205628220035e-20,-7.59561064838416e-17,-3.66598799607895e-17,6.03064983094378e-18,1.37426457161839e-18,1.41874298455167e-21,1.74376662081033e-16,-5.8033625028492e-16,-3.05347710895428e-17,-2.66500410003627e-16,-5.5107717068237e-18,2.22803247671088e-16,1.48811640914134e-17,2.35244919350936e-16,-3.84756499957761e-18,3.5558848267393e-17,1.64287152218634e-16,-4.85306101961985e-17,2.16714311380886e-15,-1.80271338947784e-17,8.01465574391117e-17,-8.17495111333662e-17,6.98351791160405e-18,2.2454281999283e-18,6.75139958971302e-17,-6.23316529360024e-17,3.2073633125518e-18,1.25443255012367e-17,3.19739775236572e-18,2.5244930583544e-17
"gamma_rplc.r.sll",2.33283611725521e-17,-4.00420970128326,0.18005008684004,0.0220157601676261,-0.00688848163744057,-0.00260883504119014,0.0614916598871406,-0.00545840051042134,-0.00361512633880406,-0.0056862046749426,-0.00260051622194462,-0.000969865820873737,0.0173078199743401,0.212690598912162,-0.0240914643065823,-0.00314828337584103,-0.000366521902252398,-10.4842245500467,2.20592546909846,0.265342916369089,0.492550243658387,0.244385667315564,1.02149083568378,0.242522343293251,0.158676693432953,0.244391110540649,0.100474949325536,0.281687018220544,0.448235859732563,1.87859543092162,1.17452978570716,0.167099587867399,0.147280389886933,0.0310561744186848,0.103350488946455,0.0733436341521339,0.051025669176996,0.054723211072683,0.00717694857103344,0.0561886268107447,0.30168185061068
"gamma_rdc.nd.cmpnst",-1.04025892773659e-16,0.18005008684004,-247.49416055736,0.587223409118602,0.116772098523272,0.0024840488543152,1.75977954349406,0.0129977011186795,-0.000502620513772546,0.0238247398668101,0.00551106160070344,4.43549421570883e-05,0.471270506232842,4.76045114602059,0.0318708613981773,-0.00837811824200283,-0.000607747971193475,15.7369567926412,-133.710756583288,3.2030843857928,6.37337779391151,3.14394968863467,15.8414966631024,2.38636560624895,1.68665255776624,2.44823708832781,1.07756093205582,2.99203184970081,5.64106938851557,26.0056789161782,18.0582840332426,3.9563936382304,1.61206919695426,0.261174168033091,1.11878875748689,0.83052328543778,0.631776046159477,0.633910914060783,0.0897920060883721,0.730631871914885,5.4461871572536
"gamma_shrt.flghts",-1.15858729726113e-16,0.0220157601676261,0.587223409118602,-33.1575415865743,0.0477324444222537,0.000450364675630477,0.286372094333052,0.00177119628065351,7.66031899251056e-05,0.00286508055832645,0.000543172716099693,-6.77659421353074e-06,0.062143250510258,0.780286156194138,0.00404204765797531,-0.00207383112988754,-0.000102095355333622,1.91035551778512,3.31909996402315,-25.9689864308591,2.3638548318512,1.22034316396028,2.7556694878146,0.279009171407965,0.213437673472518,0.331150409787816,0.143144775920727,0.488446050303916,0.757394177156648,4.40990576715843,3.07881354526934,0.593512053917266,0.241626475869151,0.0659240284319691,0.180895961390563,0.0431718601027843,0.0350920146686875,0.0373757214163534,0.00477951047606578,0.0464927667070645,0.75364701547412
"gamma_mdm.flghts",4.35345226007693e-17,-0.00688848163744057,0.116772098523272,0.0477324444222537,-1.26650926861512,-0.00325613144146973,0.0433251148326827,-0.00164679412388385,-0.00040747124367746,-0.00146999076191704,-0.000859938163266022,-0.000230422132806012,0.00295576331003666,0.15155111286313,-0.0141332443122238,-0.00147540361993552,-0.000116569867295008,0.410639701232351,0.753440020779179,0.243932922924837,-5.35664076750074,0.213652816079508,0.641904306141754,0.0534508044572955,0.0362357008403797,0.0591628720301243,0.0271217925838361,0.0755132993675347,0.133049325206092,0.985609315702296,0.694323553756314,0.0833871819385115,0.0366772200207204,0.00581058352907304,0.033025510311204,0.0102998388612924,0.00762848409169891,0.00898808479454404,0.00104368313567322,0.00977150171944514,0.172780776212666
"gamma_lng.flghts",3.52121904009319e-19,-0.00260883504119014,0.0024840488543152,0.000450364675630477,-0.00325613144146973,-0.0150426571815795,-0.000273904004394617,-0.000524850099543669,-0.000333720493941164,-0.000669967821416218,-0.000307874467153345,-0.000116681736701286,-0.001074183503564,0.00309316799966315,-0.00314206154909812,-0.000144555875557876,-3.19391563383219e-05,0.0309056343147635,0.0581094996744835,0.014834696874534,0.0216645235607014,-0.377960002685152,0.0401583163855649,0.0048491285299537,0.00332413871182616,0.00486935757804527,0.00221909176096334,0.00600613056654655,0.0119066674643429,0.0777037737996327,0.0440044956352342,0.00276362714089054,0.00212212085723571,0.00086958461805668,0.00301443097441791,0.00175377295601698,0.00135286670815876,0.00135786162985397,0.000184379101871176,0.00209655087709816,0.0126717742040312
"gamma_dt",1.16041068575429e-16,0.0614916598871406,1.75977954349406,0.286372094333052,0.0433251148326827,-0.000273904004394617,-143.075270912546,0.00170173769689621,-0.00128232784880957,0.00380440020070464,2.65368458503575e-05,-0.000287879775626785,0.162689694332379,2.18477484375282,-0.00103058174103186,-0.00490845489585051,-0.000399791813718486,4.8987907473587,8.57146304089347,1.47666208398721,2.56894077271596,1.28074400140554,-56.0426820110653,0.715038571616361,0.514099224290366,0.778937994920341,0.359698538512779,0.820372744070096,1.78174901601153,10.5295142263443,8.26192820675782,1.48277859188368,0.459870942884323,0.0654650982853316,0.295036659352692,0.218072635063959,0.177182849696167,0.171961873482137,0.0246369692972769,0.174243770396798,2.03931060145656
"gamma_inslt.rf",9.20902286578833e-19,-0.00545840051042134,0.0129977011186795,0.00177119628065351,-0.00164679412388385,-0.000524850099543669,0.00170173769689621,-0.88867808154488,-0.00955606325686379,-0.00949902341459006,-0.00365597142669329,-0.000564798448615,0.00829274493955251,0.0187791884725335,-0.00131746029793205,-0.001033501202413,-8.61908716751201e-05,0.173900989643351,0.232187206782856,0.0278460758661406,0.054464113357175,0.0241178443537127,0.14647217989088,-2.35511807183662,0.149725807932802,0.189318413351496,0.0426445178312116,0.253441538907493,0.2429590170099,0.428727303942526,0.175050460231405,0.0122122133291452,0.168218004437581,0.00964478278875795,0.0755787862823715,-1.20263346503788,0.101142574570477,0.106133639041129,0.0163267431668408,0.128877989550892,0.227276280600802
"gamma_inslt.fcd",7.63798515219149e-19,-0.00361512633880406,-0.000502620513772546,7.66031899251056e-05,-0.00040747124367746,-0.000333720493941164,-0.00128232784880957,-0.00955606325686379,-0.190585479575866,-0.00455374002479657,-0.00179068766536252,-0.000510598451524595,-0.00115068341762481,0.000829583090211152,-0.000657031369607407,-0.000382244123645281,-4.65498944831536e-05,0.0435163104353485,0.0665925263259053,0.00496111760822844,0.0119465428401161,0.00595488085164324,0.0384522798888991,0.0495193666778082,-0.629808652543738,0.0508740798600039,0.0104472429197103,0.0707794583409805,0.0606077255974768,0.117581910121354,0.0452379581942239,0.00192374940251235,0.0484213571881072,0.00348170923368465,0.01887641222436,0.035530805189358,-0.357811349076773,0.0325241015305953,0.00466385144269722,0.0365599352768355,0.0693653205716424
"gamma_rplc.wndws",2.68784998886819e-17,-0.0056862046749426,0.0238247398668101,0.00286508055832645,-0.00146999076191704,-0.000669967821416218,0.00380440020070464,-0.00949902341459006,-0.00455374002479657,-2.00677859490246,-0.00182814248756115,-0.000758225162791377,0.0194357914650599,0.0258076156942166,-0.00289938029466205,-0.000676575272923673,-9.83619874276696e-05,0.23863345984259,0.312166514908967,0.0361463206122483,0.0793658125290379,0.0341698278373143,0.195161986277218,0.234018300266478,0.181732359465241,-3.13094196195733,0.06133794483438,0.334644770058421,0.35654233618188,0.554598361640774,0.228403042989198,0.0186864553987762,0.219690839428366,0.0187653586489965,0.0961886219636706,0.112215523064984,0.0939823521291873,-1.03885847877975,0.0141056757158009,0.12919543603515,0.199618323204264
