"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset"
"gamma_vntltn",-4.77967194513994e-18,-0.000605822055585554,0.00325480768694287,0.000611471039384231,-0.000223567356110869,-0.000189251744227553,0.000637784735163525,-0.00101566760329948,-0.00082303364560331,-0.000709025906899906,-1.57200192681028,-0.000391629478988655,0.00201566869342183,0.00366664997964508,-0.00117656697324544,-0.000104810752733918,-0.000644750140452588,0.0219646865749694,0.0362363123694068,0.00618471159766999,0.00949479165704139,0.00721402123965344,0.0244354826946256,0.0148630360453923,0.0108485995164452,0.0164838370457172,-0.428594480118858,0.014958053736557,0.0372391846652039,0.0512804620169796,0.0281494201877381,0.00245458601363582,0.0427323511141875
"gamma_ht.pmp",-1.4745711862327e-18,-0.00210983240423001,0.00144750773565291,0.000220715466447378,-0.000450334528158516,-0.000267453526311187,-0.000307684194595783,-0.00134517539612629,-0.00125716797072814,-0.00169555156437029,-0.000391629478988655,-0.0169364766787337,-0.000514077251073437,0.00066428083311015,-0.000256030140202514,3.5716643017855e-11,-2.1461893488126e-05,0.0440828214233149,0.0647505972890423,0.0078322529311634,0.0158984274056731,0.00895831196654107,0.0391262744050251,0.037831521899769,0.0251906606970128,0.0363020485161577,0.0112637447056577,-0.770154407729568,0.0643208646741002,0.0927591511264902,0.0439925955046731,7.15274288533319e-06,0.0569367593521856
"gamma_slr.pnls",9.30961860600703e-16,0.0183332357625761,0.253426351047776,0.0366406768871372,0.00521552865437476,-0.000241953828109501,0.0924170627520251,0.00749500836784236,-0.000421639758138455,0.0125284837054019,0.00201566869342183,-0.000514077251073437,-17.8880024670984,0.247978165467727,0.00220938778513366,-0.000749909489959532,-0.000855518974201731,1.73869896441243,2.45010843794919,0.400139626270891,0.732634310284311,0.327348793434373,1.57151954678035,1.25868169139995,0.873385384857302,1.28364237133778,0.503814973150334,1.90906401619042,-28.2985827520126,3.9523425576283,1.89660972435851,0.253071278443688,2.44267948310392
"gamma_rdc.tmp",3.59662718413385e-16,0.122861454089462,1.96487444646484,0.355222728062359,0.077927022346768,0.00493020560031491,0.897410410381433,0.0104461423307166,0.000595553443108681,0.0152311570629636,0.00366664997964508,0.00066428083311015,0.247978165467727,-92.796495597454,0.0587119639709294,-0.000356759371173597,0.0301731020526378,8.78280146007992,13.0400700769403,2.30007949392879,4.36789815612509,2.29373751264042,10.09972825796,1.48459253914383,1.04968411150341,1.51444768191524,0.621058470871446,1.98558513818872,3.25811550760878,-117.734135776593,10.9544093518779,2.40865424699169,16.0454846853286
"gamma_crtfct",1.91019570856468e-17,-0.00585455990753238,0.0548084362958614,0.00802642715740064,-0.0037271083271481,-0.00184250648736893,0.0217048190416959,-0.000508848104881726,-0.000290993504816276,-0.000893231597033931,-0.00117656697324544,-0.000256030140202514,0.00220938778513366,0.0587119639709294,-0.823318360049339,-0.00187082546748302,-0.00296413040521755,0.294095322661958,0.485442959832044,0.0826699715153352,0.173040651288128,0.093654776446737,0.394275306955245,0.0310379587990843,0.021083093854976,0.0300031308613917,0.0149414709586456,0.0222055754794486,0.076976369504395,0.58335615477007,-4.61151562172895,0.0346752255832535,0.72936479045112
"gamma_co2.offset",3.15132147215775e-18,-0.00122520090120526,0.00108158675302639,0.00022483725644058,-0.00061933413881174,-0.000100533588465238,-0.000276899035645372,-0.000462484707042407,-0.000187895735883573,-0.000300830411317742,-0.000104810752733918,3.5716643017855e-11,-0.000749909489959532,-0.000356759371173597,-0.00187082546748302,-0.202190280983344,1.83905977512362e-10,0.0244085880357792,0.0346385303668433,0.0102219953617783,0.0121251045661107,0.00631637804270192,0.0283582706964078,0.00317571269433477,0.00220299420053101,0.00333677554685641,0.00131307940334451,0.00286366502336216,0.00884355165306619,0.0512670776831011,0.0367479834676613,-0.374667393596435,0.0519739857587224
"gamma_undercomp.w.offset",1.44299764597613e-16,-0.00645739393331532,0.03377956405263,0.00406922548435827,-0.00191667043984046,-0.000551254823526272,0.00736242602677915,-0.00187853597030924,-0.000965313543122415,-0.00205260675904644,-0.000644750140452588,-2.1461893488126e-05,-0.000855518974201731,0.0301731020526378,-0.00296413040521755,1.83905977512362e-10,-0.644548330496614,0.345117050054157,0.452953049140425,0.0792151106028536,0.128278080981393,0.0625624228659892,0.342042287687261,0.0581298602549395,0.0380269076012636,0.0566312328368947,0.0210681164866633,0.0641872270636973,0.146112514176645,0.654712284125155,0.431071351186345,0.189691257113205,-4.13040750444945
"asc_rplc.r.sll",2.38396434822627e-13,-10.4778564522356,9.20421287078231,1.2642830272022,0.287862405202864,0.0380210888784017,3.03315691490824,0.11590794603569,0.0275974425171902,0.167936470158938,0.0219646865749694,0.0440828214233149,1.73869896441243,8.78280146007992,0.294095322661958,0.0244085880357792,0.345117050054157,-628.397901078606,73.0318716410698,11.8227872120036,20.8067806739234,10.4305924914152,47.0548656670438,12.1775146260593,8.44958667252592,12.1797750711054,4.4459408992875,18.0099448587395,26.342959122858,87.7842511198515,51.4893779130769,12.8031843121901,64.9211560523887
"asc_rdc.nd.cmpnst",-1.63512302393239e-15,1.49607211841266,-110.887683947787,2.15691962520902,0.499535939797904,0.0683067462229033,5.02880249328679,0.149855526583898,0.0412920840215253,0.21198289725065,0.0362363123694068,0.0647505972890423,2.45010843794919,13.0400700769403,0.485442959832044,0.0346385303668433,0.452953049140425,73.0318716410698,-925.614720757648,19.2741346782427,32.2080047713395,18.2289414315295,71.5892146648504,17.9320411759068,12.1821285772419,18.0025109784229,6.4007883948534,25.7582034107608,36.8198314039332,134.5409796875,78.2176345721255,16.8835902874244,103.22304582324
"asc_shrt.flghts",2.47119410319352e-13,0.202052496635047,1.94875439151801,-22.6422896300767,0.166874381697646,0.019328193612507,0.916211648029376,0.0194860546063369,0.00344967405795776,0.0274710686417029,0.00618471159766999,0.0078322529311634,0.400139626270891,2.30007949392879,0.0826699715153352,0.0102219953617783,0.0792151106028536,11.8227872120036,19.2741346782427,-184.024816364253,11.5358108329813,5.94702806588234,12.8853962903435,2.51186667578343,1.75845783465551,2.53854528849722,0.925020538104528,3.77130454261334,5.75658409303776,24.5021463959209,14.0865694614545,3.15061884925204,18.4279758840754
