"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_co2.offset","asc_undercomp"
"gamma_rdc.tmp",-1.9188535427836e-11,0.211115934902563,4.72816909812319,0.769446630993919,0.150589505296879,0.00304625404158112,2.16604566911343,0.0180448720917217,0.000734133394986517,0.0263067124088895,0.00555955095302968,2.98400472897554e-05,0.531301635812782,-130.273091000466,0.0275620747931382,-0.0110658689854968,-0.000865748591119373,16.2819684883137,25.177245349115,4.2369245796274,8.27578191038027,4.32640431049258,20.3286453253367,2.5666243769764,1.81720668299617,2.65675636635507,1.15771219488987,3.1921105347102,5.70080222097611,-155.161358831238,4.66159692163837,32.3173279980157
"gamma_crtfct",-1.45659673055716e-12,-0.0240991619886317,0.031485833102496,0.00401970223164297,-0.0141045140811464,-0.00314474870108457,-0.00123890663141285,-0.0013178384465888,-0.000650785613204195,-0.00288797103866014,-0.0039479342258871,-9.22895365908247e-05,-0.00372283610191774,0.0275620747931382,-0.217447017726511,-0.00345714064174203,-0.000172552502784329,0.275297320067269,0.473781740202756,0.0761640457100159,0.160944705164087,0.0788243719043038,0.42178447597234,0.023804028860251,0.0160493929107575,0.0232743881739186,0.0136544799287185,0.0155066198360017,0.06298353534285,0.624853152502385,0.033099348439976,0.705565866878655
"gamma_co2.offset",-4.35271843801211e-17,-0.00315127024325415,-0.00837264986504846,-0.00207824062353701,-0.00147625580825044,-0.000144678269569447,-0.00490216453071609,-0.00102789703423104,-0.00037923682315043,-0.000675235010183384,-0.00023540018105518,1.6867359521908e-12,-0.00273073617101086,-0.0110658689854968,-0.00345714064174203,-0.00861604210260974,6.41559837594791e-13,0.00963524943452687,0.0142073647846232,0.0040813449212462,0.00446278567895727,0.00223297114620647,0.0116175066623861,0.00101322969260088,0.000690476116228222,0.00105760466612855,0.000427401877032738,0.000828505150457715,0.00286665941441231,0.0213083834828959,-0.108778850083249,0.0187573883969836
"gamma_undercomp",-3.07334451027148e-18,-0.000398443163221006,-0.000660005359250801,-0.000111016174935102,-0.000126593946047553,-3.45578992006323e-05,-0.000435104645586559,-9.36727996736343e-05,-5.04200374220077e-05,-0.000106818531806402,-3.24967116106137e-05,-1.28264549058871e-06,-0.000267744503072486,-0.000865748591119373,-0.000172552502784329,6.41559837594791e-13,-4.81649427477379e-06,0.00142721948720073,0.0019437492767131,0.000301848317781002,0.000500724307475608,0.000239491316805763,0.0014846157346981,0.000202123761472393,0.000130336169902982,0.000198614544618431,7.97101285149381e-05,0.000184984718263496,0.000547241577435867,0.00295686434293535,0.000862525496477611,-0.0128793327742995
"asc_rplc.r.sll",1.20584480357089e-12,-10.4251826259334,15.7024451997443,1.88302544812647,0.408127406463471,0.0308741044278966,4.86451056801526,0.168521555579314,0.0406604497356141,0.243296607591476,0.0345802966418544,0.00836916412871097,2.6378800356565,16.2819684883137,0.275297320067269,0.00963524943452687,0.00142721948720073,-594.993120594593,96.8757654775683,14.5569276193383,26.3838271106243,13.1175481893876,61.063533622721,14.4564428736925,10.0892250361067,14.6060673440801,5.60100134560419,22.5487883239893,31.1872372977362,113.036485915814,16.0821580843547,88.7550380955932
"asc_rdc.nd.cmpnst",7.29858265982632e-10,2.18566734425114,-133.575583290987,3.28668699073178,0.752105849606849,0.0578758092328424,8.52057420631242,0.221546538648929,0.0634449950885714,0.319415154311161,0.0603957822218021,0.0124733826607325,3.76396905730861,25.177245349115,0.473781740202756,0.0142073647846232,0.0019437492767131,96.8757654775683,-876.24916477276,24.0335393042852,42.1862145830553,23.9317539839075,96.3688823120519,21.7008941271406,14.6922572085786,21.881966051285,8.09047650103343,33.013052041643,44.0047374035498,179.089517353692,21.5926276625726,143.094619914574
"asc_shrt.flghts",1.58873984273554e-12,0.263009109975664,3.20035556749383,-25.7810345028643,0.244231616097143,0.0147261533442991,1.46944081846002,0.0269513152085685,0.00450689147895656,0.0375588307383785,0.00862114776969215,0.00131485472366008,0.565918616981407,4.2369245796274,0.0761640457100159,0.0040813449212462,0.000301848317781002,14.5569276193383,24.0335393042852,-173.149649269254,14.4047261997033,7.25253363663694,16.4483539980828,2.87241124384784,2.04341806111024,2.93472968543311,1.0899159754565,4.3800421575897,6.61634023890864,30.6708277207877,3.85516398360567,24.0572020455849
"asc_mdm.flghts",3.04202134770601e-12,0.487944272420387,6.33804579485166,2.35381027648041,-5.356731258837,0.021644239378903,2.55159733778997,0.0548154188737303,0.0121856544354197,0.0804759021459689,0.0137754337659757,0.00265435691567712,1.01713034168232,8.27578191038027,0.160944705164087,0.00446278567895727,0.000500724307475608,26.3838271106243,42.1862145830553,14.4047261997033,-296.920517447274,11.2803757355969,31.1416390216779,4.97959060452345,3.48810843720576,5.02543765041314,1.9171174163151,7.95263349058866,11.0991270992774,54.5057468899933,6.55435473043407,44.1212620401369
"asc_lng.flghts",2.12052351001522e-12,0.242473225734958,3.13201993269713,1.20947218186603,0.213526378780507,-0.378705721690319,1.27796378839889,0.023501661121935,0.00626134722225407,0.0351633054013134,0.0102803802072589,0.00131971707671827,0.445721718097982,4.32640431049258,0.0788243719043038,0.00223297114620647,0.000239491316805763,13.1175481893876,23.9317539839075,7.25253363663694,11.2803757355969,-161.725182509308,16.0727001378506,2.30331549540913,1.55825869701431,2.30346575418274,1.01465969433237,4.05498137111725,6.21608803424549,31.5260298009696,3.09251349519347,21.9981475083334
"asc_dt",1.17249792352208e-10,1.01107989136982,15.8054952412557,2.72856330899655,0.640986450264877,0.0401494236294441,-55.8498297839256,0.139846968437223,0.0358445325559218,0.199018971446922,0.0381330401671974,0.00734961557825051,2.3172178138151,20.3286453253367,0.42178447597234,0.0116175066623861,0.0014846157346981,61.063533622721,96.3688823120519,16.4483539980828,31.1416390216779,16.0727001378506,-648.747613551427,13.3729236483768,9.20109072247027,13.5484659504328,5.03645394466317,19.5627334327391,28.1652555259971,127.045067730268,17.1293291554605,113.276212501388
"asc_inslt.rf",1.16785738360287e-10,0.252301550496582,2.44635713293809,0.308696669952908,0.0582981185097105,0.00497602142260564,0.743239164887976,-2.1688879085514,0.0359576938245004,0.226574334076383,0.0245653464802696,0.0078418303722151,1.97065315032975,2.5666243769764,0.023804028860251,0.00101322969260088,0.000202123761472393,14.4564428736925,21.7008941271406,2.87241124384784,4.97959060452345,2.30331549540913,13.3729236483768,-218.906815397953,13.6058217109883,20.19304389778,4.74911972018919,19.2778022577316,28.8019572008573,36.0540835511604,2.34648337206325,18.6735879424584
"asc_inslt.fcd",5.45665030825621e-12,0.167144200704359,1.73732559575721,0.242797236535238,0.0405915455678509,0.00339577964501511,0.535350928990847,0.115521775764789,-0.563677141130115,0.172572035193377,0.0178490817543589,0.00521196037379582,1.36313333615712,1.81720668299617,0.0160493929107575,0.000690476116228222,0.000130336169902982,10.0892250361067,14.6922572085786,2.04341806111024,3.48810843720576,1.55825869701431,9.20109072247027,13.6058217109883,-154.402530913038,13.6453282200988,3.2590448537616,13.4182546453405,19.53968608387,24.6835106772978,1.57673471908647,12.8795135503319
"asc_rplc.wndws",1.77448724898334e-12,0.244518635547189,2.45585256126546,0.330468629151174,0.059503782220961,0.00493384068067048,0.778498123958027,0.165286191617672,0.0417689150653497,-3.15141822686441,0.0274613162349023,0.00759665580753664,2.01894834026419,2.65675636635507,0.0232743881739186,0.00105760466612855,0.000198614544618431,14.6060673440801,21.881966051285,2.93472968543311,5.02543765041314,2.30346575418274,13.5484659504328,20.19304389778,13.6453282200988,-220.209117162428,4.79401048485639,19.2851510832281,28.4155965532639,36.4114984461602,2.34400715769859,18.9924878158009
"asc_vntltn",5.21096633076974e-13,0.095506510496263,1.04702388834819,0.130090493218985,0.0250544931297313,0.00215224642162259,0.344419266883149,0.0459831020353061,0.0113317469199328,0.0662525513230449,-0.51402796511365,0.00233904577180167,0.823863979033661,1.15771219488987,0.0136544799287185,0.000427401877032738,7.97101285149381e-05,5.60100134560419,8.09047650103343,1.0899159754565,1.9171174163151,1.01465969433237,5.03645394466317,4.74911972018919,3.2590448537616,4.79401048485639,-80.0833544970575,6.23438190048316,10.1850301074583,13.8805396134825,0.900371163261858,7.39514384144834
"asc_ht.pmp",5.10727883399985e-13,0.282148661211582,3.02158730737096,0.488172889843898,0.0761913429598016,0.00657534435197747,0.836151276171927,0.221807170724905,0.0621824405231164,0.329304942469588,0.0244941330462367,-0.103949862309423,3.1186097934437,3.1921105347102,0.0155066198360017,0.000828505150457715,0.000184984718263496,22.5487883239893,33.013052041643,4.3800421575897,7.95263349058866,4.05498137111725,19.5627334327391,19.2778022577316,13.4182546453405,19.2851510832281,6.23438190048316,-277.443036805859,35.4979019495973,44.7012270467971,1.9599201547664,24.4730589951608
"asc_slr.pnls",2.92529619953538e-11,0.440957332418277,5.57646823562965,0.728769813535058,0.130310871763115,0.0120090097912647,1.74991593944451,0.222041641603649,0.0531827206225096,0.359448789585167,0.0613625878898437,0.0125072073845151,-32.8231845616019,5.70080222097611,0.06298353534285,0.00286665941441231,0.000547241577435867,31.1872372977362,44.0047374035498,6.61634023890864,11.0991270992774,6.21608803424549,28.1652555259971,28.8019572008573,19.53968608387,28.4155965532639,10.1850301074583,35.4979019495973,-406.958524153834,78.3808719811783,5.90814720453509,40.0921028578015
"asc_rdc.tmp",-3.52908276904475e-11,1.87925890873277,26.0347818056224,4.38088199340106,0.986786136172772,0.078027409711114,10.518794642591,0.388649297004685,0.103406109900786,0.55777065395446,0.0850211923698614,0.0181163740939829,6.28573369100518,-155.161358831238,0.624853152502385,0.0213083834828959,0.00295686434293535,113.036485915814,179.089517353692,30.6708277207877,54.5057468899933,31.5260298009696,127.045067730268,36.0540835511604,24.6835106772978,36.4114984461602,13.8805396134825,44.7012270467971,78.3808719811783,-1139.04252933957,30.8752535300292,195.115489223314
"asc_co2.offset",8.22261182936789e-13,0.166601288658289,3.94776994705883,0.587517342840852,0.0834152081514664,0.00278250778413673,1.47724088775255,0.0121649883253211,0.00188338230077833,0.0190034775546612,0.00330778980313341,5.64927506948293e-07,0.347572014666853,4.66159692163837,0.033099348439976,-0.108778850083249,0.000862525496477611,16.0821580843547,21.5926276625726,3.85516398360567,6.55435473043407,3.09251349519347,17.1293291554605,2.34648337206325,1.57673471908647,2.34400715769859,0.900371163261858,1.9599201547664,5.90814720453509,30.8752535300292,-160.750778108871,25.0940616604398
"asc_undercomp",3.41338647114333e-10,1.54382516056437,25.1077901592874,4.07271722953635,0.944879910961496,0.0546411558498846,11.9559850136134,0.193966741671672,0.0484512378803782,0.271754899983498,0.0594814483496476,0.00900147696551146,3.39236921968064,32.3173279980157,0.705565866878655,0.0187573883969836,-0.0128793327742995,88.7550380955932,143.094619914574,24.0572020455849,44.1212620401369,21.9981475083334,113.276212501388,18.6735879424584,12.8795135503319,18.9924878158009,7.39514384144834,24.4730589951608,40.0921028578015,195.115489223314,25.0940616604398,-903.729223693766
